16-07-2023 00:34:03.539 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - Entered DataLayer: Entered getEventsByUser()
16-07-2023 00:34:04.047 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - Stored procedure for getEventsByUser() executed with status true
16-07-2023 00:34:04.048 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - getEventsByUser(): list of all events created successfully
16-07-2023 00:34:04.048 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - Exiting DataLayer: returning list of all events to Service Layer
16-07-2023 00:35:11.131 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - Entered DataLayer: Entered getEventsByUser()
16-07-2023 00:35:11.733 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - Stored procedure for getEventsByUser() executed with status true
16-07-2023 00:35:11.734 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - getEventsByUser(): list of all events created successfully
16-07-2023 00:35:11.734 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - Exiting DataLayer: returning list of all events to Service Layer
16-07-2023 00:36:01.187 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - Entered DataLayer: Entered getEventsByUser()
16-07-2023 00:36:01.484 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - Stored procedure for getEventsByUser() executed with status true
16-07-2023 00:36:01.485 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - getEventsByUser(): list of all events created successfully
16-07-2023 00:36:01.485 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - Exiting DataLayer: returning list of all events to Service Layer
16-07-2023 00:44:03.312 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - Entered DataLayer: Entered getEventsByUser()
16-07-2023 00:44:03.601 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - Stored procedure for getEventsByUser() executed with status true
16-07-2023 00:44:03.605 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - getEventsByUser(): list of all events created successfully
16-07-2023 00:44:03.605 [main] INFO  com.dal.cs.backend.Club.DataLayer.ClubDataLayer - Exiting DataLayer: returning list of all events to Service Layer
